Калибр: <br/ >Дальность: <br/ >Режимы: <br/ >Темп стрельбы: <br/ >Магазины: 
Caliber: <br/> Distance: <br/> Modes: <br/> Rate of fire: <br/> Mags:
///////////////
Language, "Original", "Russian"

STR_bi_rpg7v_name,"RPG-7V","РПГ-7В"

STR_bi_pgo7v_name,"PGO-7V","ПГО-7В"
STR_bi_pgo7v_desc,"Multiplicity: 2,7x<br/>Range: 200<br/>Modes: vis","Кратность: 2,7х<br/>Дальность: 200<br/>Режимы: vis"
STR_bi_pgo7v2_name,"PGO-7V2","ПГО-7В2"
STR_bi_pgo7v3_name,"PGO-7V3","ПГО-7В3"

STR_bi_npsu_name,"NPSU(rpg-7)","НПСУ(рпг-7)"
STR_bi_npsu_desc,"Multiplicity: 3,5x<br/>Range: 300<br/>Modes: NVG","Кратность: 3,5х<br/>Дальность: 300<br/>Режимы: NVG"

STR_bi_pg7v_name,"PG-7V","ПГ-7В"
STR_bi_pg7v_desc,"Type: Cumulative<br />Rounds: 1<br />Used In: RPG-7V","Тип: Кумулятивный<br />Кол-во: 1<br />Исп. в: РПГ-7В"
STR_bi_pg7vm_name,"PG-7VM","ПГ-7ВM"
STR_bi_pg7vl_name,"PG-7VL","ПГ-7ВЛ"

STR_bi_pg7vr_name,"PG-7VR","ПГ-7ВР"
STR_bi_pg7vr_desc,"Type: Tandem cumulative<br />Rounds: 1<br />Used In: RPG-7V","Тип: Тандемный кумулятивный<br />Кол-во: 1<br />Исп. в: РПГ-7В"

STR_bi_og7v_name,"OG-7V","ОГ-7В"
STR_bi_og7v_desc,"Type: Fragmentation<br />Rounds: 1<br />Used In: RPG-7V","Тип: Осколочный<br />Кол-во: 1<br />Исп. в: РПГ-7В"

STR_bi_tbg7v_name,"TBG-7V","ТБГ-7В"
STR_bi_tbg7v_desc,"Type: Thermobaric<br />Rounds: 1<br />Used In: RPG-7V","Тип: Термобарический<br />Кол-во: 1<br />Исп. в: РПГ-7В"


Type: Single-stage HEAT<br />Rounds: 1<br />Used In: RPG-7V
Type: Tandem HEAT<br />Rounds: 1<br />Used In: RPG-7V
Type: Fragmentation<br />Rounds: 1<br />Used In: RPG-7V
Type: Thermobaric<br />Rounds: 1<br />Used In: RPG-7V
