////Multiplicity: <br/>Range: <br/>Modes: 
////Кратность: <br/>Дальность: <br/>Режимы: 
///////////////
Language, "Original", "Russian"

STR_545mag_name,"5.45х39(30cartr)","5.45х39(30патр)"
STR_545mag_desc,"Caliber: 5.45x39mm<br />Quantity: 30cartrige<br />Type: Normal<br />Use:rifle caliber 5.45x39mm","Калибр: 5.45х39мм<br />Количество: 30патронов<br />Тип: обычный<br />Используется: автоматы калибра 5.45х39"
STR_545mag_trs_name,"5.45x39(30cartr), green tracer","5.45х39(30патр), зеленый трассер"
STR_545mag_trs_sname,"tracer","трассер"
STR_545mag_trs_desc,"Caliber: 5.45x39mm<br />Quantity: 30cartrige<br />Type: tracer<br />Use:rifle caliber 5.45x39mm","Калибр: 5.45х39мм<br />Количество: 30патронов<br />Тип: трассер<br />Используется: автоматы калибра 5.45х39"
STR_545mag_uw_name,"5.45x39 (30cartr), underwater","5.45х39(30патр), подводный"
STR_545mag_uw_sname,"underwater","подводный"
STR_545mag_uw_desc,"Caliber: 5.45x39mm<br />Quantity: 30cartrige<br />Type: underwater<br />Use:rifle caliber 5.45x39mm","Калибр: 5.45х39мм<br />Количество: 30патронов<br />Тип: подводный<br />Используется: автоматы калибра 5.45х39"

STR_556mag name,"5.56x45(30cartr)","5.56x45(30патр)"
STR_556mag_desc,"Caliber: 5.56x45mm<br />Quantity: 30cartrige<br />Type: Normal<br />Use:AK-101,556A91","Калибр: 5.56х45мм<br />Количество: 30патронов<br />Тип: обычный<br />Используется:АК-101,556А91"
STR_556mag_trs_name,"5.56x45(30cartr), tracer cartridge","5.56x45(30патр), трассирующий патрон"
STR_556mag_desc,"Caliber: 5.56x45mm<br />Quantity: 30cartrige<br />Type: tracer<br />Use:AK-101,556A91","Калибр: 5.56х45мм<br />Количество: 30патронов<br />Тип: трассер<br />Используется:АК-101,556А91"

STR_556_rpkmag name,"5.56x45(45cartr)","5.56x45(45патр)"
STR_556_rpkmag_desc,"Caliber: 5.56x45mm<br />Quantity: 45cartrige<br />Type: Normal<br />Use: RPK-201","Калибр: 5.56х45мм<br />Количество: 45патронов<br />Тип: обычный<br />Используется: РПК-201"
STR_556trs_rpkmag name,"5.56x45(45cartr), green tracer","5.56x45(45патр), зеленый трассер"
STR_55trs_rpkmag_desc,"Caliber: 5.56x45mm<br />Quantity: 45cartrige<br />Type: tracer<br />Use:RPK-201","Калибр: 5.56х45мм<br />Количество: 45патронов<br />Тип: трассер<br />Используется: автоматы калибра РПК-201"
STR_556_rpk75mag name,"5.56x45(75cartr)","5.56x45(75патр)"
STR_556_rpk75mag_desc,"Caliber: 5.56x45mm<br />Quantity: 75cartrige<br />Type: Normal<br />Use: RPK-201","Калибр: 5.56х45мм<br />Количество: 75патронов<br />Тип: обычный<br />Используется: РПК-201"

STR_vog25osk_name,"40mm VOG-25, HE","40мм ВОГ-25, Оскол."
STR_vog25osk_sname,"HE Grenade","Осколочный"
STR_vog25osk_desc,"Type: High Explosive Grenade Round<br />Caliber: 40mm<br />Rounds: 1<br />Used in: GP-30m,ADS","Тип: Осколочно-фугасный снаряд<br />Калибр: 40мм<br />Количество: 1<br />Используется: ГП-30,АДС"

STR_grd40w_name,"40mm GRD-40, Smoke(white)","40мм ГРД-40, Дымов.(белый)"
STR_grd40w_sname,"White smoke","Белый дым"
STR_grd40w_desc,"Type: White Smoke Round<br />Caliber: 40mm<br />Rounds: 1<br />Used in: GP-30m,ADS","Тип: Белый дымовой снаряд<br />Калибр: 40мм<br />Количество: 1<br />Используется: ГП-30м,АДС"

STR_grd40r_name,"40mm GRD-40, Smoke(red)","40мм ГРД-40, Дымов.(красный)"
STR_grd40r_sname,"Red smoke","Красный дым"
STR_grd40r_desc,"Type: Red Smoke Round<br />Caliber: 40mm<br />Rounds: 1<br />Used in: GP-30m,ADS","Тип: Красный дымовой снаряд<br />Калибр: 40мм<br />Количество: 1<br />Используется: ГП-30м,АДС"

STR_grd40g_name,"40mm GRD-40, Smoke(green)","40мм ГРД-40, Дымов.(зеленый)"
STR_grd40g_sname,"Green smoke","Зеленый дым"
STR_grd40g_desc,"Type: Green Smoke Round<br />Caliber: 40mm<br />Rounds: 1<br />Used in: GP-30m,ADS","Тип: Зеленый дымовой снаряд<br />Калибр: 40мм<br />Количество: 1<br />Используется: ГП-30м,АДС"

